BuildingName,BuildingAddress,BuildingType,BuildingSize,PublicSector,YearObtainedTOP_CSC,GreenMarkYearofAward,GreenMarkRating,GreenMarkStatus,GrossFloorArea_M2,PercentageOfAirconditionedFloorArea,AverageMonthlyBuildingOccupancyRate_percentage,NumberOfHotelRooms,TypeOfAirconditioningSystem,AgeOfNewestChiller_Airconditioner,CentralisedAirconditioningPlantEfficiency_kWRT,YearOfLastChillerPlantAuditHealthCheck,PercentageUsageOfLED,InstallationOfSolarPV,EUI2015_kWhM2Yr,EUI2016_kWhM2Yr,EUI2017_kWhM2Yr,EUIPerformanceComparedToPreviousYear,Benchmarking_EUI_Quartile,VoluntaryDisclosure,BuildingAge,TotalEnergy2017
THE FRANKLIN,"3 SCIENCE PARK DRIVE, SINGAPORE 118223",Office Building,Small,No,2005,,Not Certified,No,8900,100,71,,Water Cooled Chilled Water Plant,4,,,0,N,326,294.5,289.4,Improved,Bottom Quartile,Y,13,2575660
CENTENNIAL TOWER,"3 TEMASEK AVENUE, SINGAPORE 039190",Office Building,Large,No,1997,2011,GoldPlus,Yes,64846,80,100,,Water Cooled Chilled Water Plant,4,0.65,2013,0,N,218.9,200.3,193.1,Improved,3rd Quartile,Y,21,12521762.6
MILLENIA WALK,"9 RAFFLES BOULEVARD, SINGAPORE 039596",Mixed Development,,No,1996,2011,Platinum,Yes,228435,88,85,1115,District Cooling Plant,20,0.67,2013,0,N,292,306.5,303.6,Improved,3rd Quartile,Y,22,69352866
THE SOUTHBRIDGE HOTEL,"210 SOUTH BRIDGE ROAD, SINGAPORE 058759",Hotel,Small,No,2014,,Not Certified,No,1906,84,90,47,"Others (Split Units, Unitary Systems)",3,,,20,N,201.8,212.8,216.8,Worsened,2nd Quartile,Y,4,413220.80000000005
,"333 JALAN BESAR, SINGAPORE 209018",Office Building,Small,No,1990,,Not Certified,No,1600,25,100,,"Others (Split Units, Unitary Systems)",6,,,100,N,75,74.2,71.8,Improved,Top Quartile,Y,28,114880
,"137 TELOK AYER STREET, SINGAPORE 068602",Office Building,Small,No,2003,,Not Certified,No,9233,100,100,,"Others (Split Units, Unitary Systems)",0,,,0,N,236.3,250.3,233.1,Improved,3rd Quartile,Y,15,2152212.3
,"1A INTERNATIONAL BUSINESS PARK, SINGAPORE 609933",Office Building,Large,No,2009,2013,Gold,Yes,19967,84,100,,Water Cooled Chilled Water Plant,6,,,5,N,154,133.2,118.1,Improved,Top Quartile,Y,9,2358102.6999999997
,,Educational Institution,,,,,,Yes,,,,,,,,,,,158.7,162.3,158.4,Improved,,,,
ORCHARD HOTEL SINGAPORE,"442 ORCHARD ROAD, SINGAPORE 238879",Hotel,Large,No,1980,2015,Gold,Yes,44097,80,88,656,Water Cooled Chilled Water Plant,8,0.78,2015,50,N,376.4,388.4,388.1,Improved,Bottom Quartile,Y,38,17114045.7
GRAND COPTHORNE WATERFRONT,"392 HAVELOCK ROAD, SINGAPORE 169663",Hotel,Large,No,1999,2015,Platinum,Yes,51726,75,82,574,Water Cooled Chilled Water Plant,3,0.6,2015,8,N,275.1,261.6,260.6,Improved,2nd Quartile,Y,19,13479795.600000001
THE CATHAY,"2 HANDY ROAD, SINGAPORE 229233",Retail Building,Large,No,2006,,Not Certified,No,24434,100,71,,Water Cooled Chilled Water Plant,10,1,,5,N,379.3,347.3,352.5,Worsened,2nd Quartile,Y,12,8612985
CATHAY CINELEISURE ORCHARD,"8 GRANGE ROAD, SINGAPORE 239695",Retail Building,Large,No,1997,,Not Certified,No,24646,77,88,,Water Cooled Chilled Water Plant,2,,,75,N,470.6,421.7,421.9,Worsened,2nd Quartile,Y,21,10398147.399999999
HOTEL GRAND PACIFIC,"101 VICTORIA STREET, SINGAPORE 188018",Hotel,Large,No,1971,,Not Certified,No,14950,87,80,240,Water Cooled Chilled Water Plant,4,0.83,2017,35,N,246.1,242.7,239,Improved,2nd Quartile,Y,47,3573050
,,Retail Building,Small,,,,,No,,,,,,,,,,,485.7,494.7,474.9,Improved,3rd Quartile,N,,
,,Retail Building,Small,,,,,No,,,,,,,,,,,740.8,678.2,514,Improved,Bottom Quartile,N,,
MONI GALLERY HOSTEL,"263 LAVENDER STREET, SINGAPORE 338795",Hotel,Small,No,1926,,Not Certified,No,462,100,60,9,"Others (Split Units, Unitary Systems)",1,,,20,N,152,157.7,143.1,Improved,Top Quartile,Y,92,66112.2
THE HIVE,"624 SERANGOON ROAD, SINGAPORE 218223",Hotel,Small,No,2000,,Not Certified,No,690,70,65,10,"Others (Split Units, Unitary Systems)",7,,,75,N,87.5,118,112.1,Improved,Top Quartile,Y,18,77349
,"322 LAVENDER STREET, SINGAPORE 338821",Hotel,Small,No,2000,,Not Certified,No,268,75,100,5,"Others (Split Units, Unitary Systems)",2,,,100,N,162.1,156.1,175.6,Worsened,Top Quartile,Y,18,47060.799999999996
,,Hotel,Small,,,,,No,,,,,,,,,,,572.1,511.7,640.3,Worsened,Bottom Quartile,N,,
D KRANJI FARM RESORT,"10 NEO TIEW LANE 2, SINGAPORE 718813",Mixed Development,,No,2008,,Not Certified,No,3057,51,50,35,"Others (Split Units, Unitary Systems)",2,,,70,N,179.3,219.1,213.3,Improved,2nd Quartile,Y,10,652058.1
,"387 BALESTIER ROAD, SINGAPORE 329795",Hotel,Small,No,2009,,Not Certified,No,892,99,75,45,"Others (Split Units, Unitary Systems)",8,,,0,N,330.9,400,349.9,Improved,Bottom Quartile,Y,9,312110.8
AQUEEN HOTEL - PAYA LEBAR,"33 JALAN AFIFI, SINGAPORE 409180",Hotel,Small,No,2015,,Not Certified,No,4929,64,65,162,"Others (Split Units, Unitary Systems)",2,,,80,N,176.2,300.3,315.5,Worsened,3rd Quartile,Y,3,1555099.5
AQUEEN HOTEL - LAVENDER,"139 LAVENDER STREET, SINGAPORE 338739",Hotel,Small,No,2010,,Not Certified,No,2230,97,65,105,"Others (Split Units, Unitary Systems)",7,,,0,N,418.5,412,435.9,Worsened,Bottom Quartile,Y,8,972057
AQUEEN - JALAN BESAR HOTEL,"230 JALAN BESAR, SINGAPORE 208906",Hotel,Small,No,2014,,Not Certified,No,1948,62,65,76,"Others (Split Units, Unitary Systems)",3,,,70,N,274,293.1,322.4,Worsened,3rd Quartile,Y,4,628035.2
,"44 ROWELL ROAD, SINGAPORE 207995",Hotel,Small,No,2003,,Not Certified,No,107,100,80,14,"Others (Split Units, Unitary Systems)",6,,,0,N,347.6,303.8,284.9,Improved,3rd Quartile,Y,15,30484.3
GUTHRIE BUILDING,"150 CHANGI ROAD, SINGAPORE 419973",Office Building,Small,No,1997,,Not Certified,No,3904,29,100,,"Others (Split Units, Unitary Systems)",15,,,0,N,220.9,219.4,195.3,Improved,3rd Quartile,Y,21,762451.2000000001
THE ADELPHI,"1 COLEMAN STREET, SINGAPORE 179803",Mixed Development,,No,1990,,Not Certified,No,41158,97,100,,Water Cooled Chilled Water Plant,6,1.3,2016,0,N,218.5,215.5,230.1,Worsened,2nd Quartile,Y,28,9470455.799999999
PAGODA VIEW,"32 PAGODA STREET, SINGAPORE 059191",Retail Building,Small,No,1997,,Not Certified,No,162,100,100,,"Others (Split Units, Unitary Systems)",4,,,18,N,701.1,708.9,667.8,Improved,Bottom Quartile,Y,21,108183.59999999999
JEAN YIP LOFT,"307 NEW BRIDGE ROAD, SINGAPORE 088757",Retail Building,Small,No,2011,,Not Certified,No,1505,70,100,,"Others (Split Units, Unitary Systems)",4,,,90,N,274.1,245.3,181.6,Improved,2nd Quartile,Y,7,273308
CHERN SENG BUILDING,"7 HINDOO ROAD, SINGAPORE 209108",Office Building,Small,No,2004,,Not Certified,No,2048,93,90,,"Others (Split Units, Unitary Systems)",1,,,0,N,69.9,72,64.5,Improved,Top Quartile,Y,14,132096
TANJONG KATONG COMPLEX,"845 GEYLANG ROAD, SINGAPORE 400845",Retail Building,Large,No,1983,,Not Certified,No,19000,100,95,,Water Cooled Chilled Water Plant,15,,,25,N,263.4,249.7,231.8,Improved,Top Quartile,Y,35,4404200
THE NOBLE HOTEL,"407 JALAN BESAR, SINGAPORE 209012",Hotel,Small,No,1996,,Not Certified,No,1022,86,75,30,"Others (Split Units, Unitary Systems)",3,,,90,N,153.3,191.3,238.2,Worsened,2nd Quartile,Y,22,243440.4
,"985 UPPER SERANGOON ROAD, SINGAPORE 534731",Retail Building,Small,No,1993,,Not Certified,No,580,100,100,,"Others (Split Units, Unitary Systems)",5,,,0,N,215.8,183.7,151.5,Improved,Top Quartile,Y,25,87870
JOYFOR SINGAPORE,"135 GEYLANG ROAD, SINGAPORE 389226",Hotel,Small,No,2012,,Not Certified,No,642,100,50,19,"Others (Split Units, Unitary Systems)",3,,,100,N,203.4,240,221.5,Improved,2nd Quartile,Y,6,142203
,,Office Building,Small,,,,,No,,,,,,,,,,,198.1,211.6,203.3,Improved,3rd Quartile,N,,
112 KATONG,"112 EAST COAST ROAD, SINGAPORE 428802",Retail Building,Large,No,2011,,Not Certified,No,26208,100,84,,Water Cooled Chilled Water Plant,4,,,10,N,492.7,481.1,466.7,Improved,3rd Quartile,Y,7,12231273.6
BUKIT PASOH BUILDING,"3 BUKIT PASOH ROAD, SINGAPORE 089817",Office Building,Small,No,2006,,Not Certified,No,863,93,90,,"Others (Split Units, Unitary Systems)",10,,,0,N,212.2,224.8,218.7,Improved,3rd Quartile,Y,12,188738.09999999998
,,Retail Building,Large,,,,,Yes,,,,,,,,,,,556.4,474.7,667,Worsened,Bottom Quartile,N,,
CENTURY SQUARE,"2 TAMPINES CENTRAL 5, SINGAPORE 529509",Retail Building,Large,No,1995,2016,Gold,Yes,29600,84,99,,Water Cooled Chilled Water Plant,5,0.78,2015,20,N,544.6,527.8,368.4,Improved,2nd Quartile,Y,23,10904640
,,Retail Building,Large,,,,,Yes,,,,,,,,,,,322.4,572.9,565.2,Improved,Bottom Quartile,N,,
TAMPINES ONE,"10 TAMPINES CENTRAL 1, SINGAPORE 529536",Retail Building,Large,No,2009,2013,GoldPlus,Yes,35386,100,100,,Water Cooled Chilled Water Plant,8,0.68,2015,10,N,480.6,473.5,456.8,Improved,3rd Quartile,Y,9,16164324.8
LIANG COURT,"177 RIVER VALLEY ROAD, SINGAPORE 179030",Retail Building,Large,No,1980,,Not Certified,No,49164,84,98,,Water Cooled Chilled Water Plant,10,,,20,N,377.1,365.4,352.6,Improved,2nd Quartile,Y,38,17335226.400000002
,,Retail Building,Large,,,,,No,,,,,,,,,,,599.4,611,593,Improved,Bottom Quartile,N,,
MERCHANTS BUILDING,"76 SOUTH BRIDGE ROAD, SINGAPORE 058706",Office Building,Small,No,1980,,Not Certified,No,307,100,100,,"Others (Split Units, Unitary Systems)",30,,,0,N,143.8,175.5,177,Worsened,2nd Quartile,Y,38,54339
KEPPEL BAY TOWER,"1 HARBOURFRONT AVENUE, SINGAPORE 098632",Office Building,Large,No,2002,2014,Platinum,Yes,41840,92,98,,Water Cooled Chilled Water Plant,3,0.6,2015,30,N,184.2,162.7,164.9,Worsened,2nd Quartile,Y,16,6899416
,"97 TANK ROAD, SINGAPORE 238066",Mixed Development,,No,1963,,Not Certified,No,9161,66,40,,Air Cooled Chilled Water Plant,20,3.34,2017,0,N,123.8,126,119.3,Improved,Top Quartile,Y,55,1092907.3
ONE RAFFLES PLACE,"1 RAFFLES PLACE, SINGAPORE 048616",Office Building,Large,No,1988,2017,Platinum,Yes,117542,71,95,,Water Cooled Chilled Water Plant,5,0.7,,10,Y,244.7,259.1,238.5,Improved,3rd Quartile,Y,30,28033767
,,Healthcare Facility,,,,,,No,,,,,,,,,,,89.2,83.7,84.4,Worsened,,,,
,,Healthcare Facility,,,,,,Yes,,,,,,,,,,,30.6,113.9,118.2,Worsened,,,,
,,Retail Building,Large,,,,,No,,,,,,,,,,,212.2,211.5,174.8,Improved,Top Quartile,N,,
,,Healthcare Facility,,,,,,No,,,,,,,,,,,51.6,138.8,135.9,Improved,,,,
,,Healthcare Facility,,,,,,No,,,,,,,,,,,122.5,122.9,114.2,Improved,,,,
,,Healthcare Facility,,,,,,No,,,,,,,,,,,35.2,61.6,66.7,Worsened,,,,
,,Healthcare Facility,,,,,,No,,,,,,,,,,,111.3,120.9,123,Worsened,,,,
,,Healthcare Facility,,,,,,No,,,,,,,,,,,262.8,301.9,293.5,Improved,,,,
NORTH-EASTERN ENVIRONMENTAL HEALTH OFFICE,"174 SIN MING DRIVE, SINGAPORE 575715",Office Building,Small,Yes,1985,,Not Certified,No,1715,90,95,,"Others (Split Units, Unitary Systems)",0,,,0,N,145.6,144.4,138.7,Improved,2nd Quartile,Y,33,237870.49999999997
THE CLUB,"28 ANN SIANG ROAD, SINGAPORE 069708",Hotel,Small,No,1928,,Not Certified,No,1940,13,78,20,"Others (Split Units, Unitary Systems)",1,,,0,N,223.5,428.4,345.8,Improved,3rd Quartile,Y,90,670852
ASIA SQUARE TOWER 1,"8 MARINA VIEW, SINGAPORE 018960",Office Building,Large,No,2011,2015,Platinum,Yes,145650,85,89,,District Cooling Plant,10,,,10,Y,183.8,180.2,169.6,Improved,2nd Quartile,Y,7,24702240
ASIA SQUARE TOWER 2,"12 MARINA VIEW, SINGAPORE 018961",Office Building,Large,No,2013,2017,Platinum,Yes,99576,83,77,305,District Cooling Plant,10,,,10,Y,187.9,199.5,207.4,Worsened,3rd Quartile,Y,5,20652062.400000002
,,Healthcare Facility,,,,,,No,,,,,,,,,,,35,104.4,96.7,Improved,,,,
,,Office Building,Small,,,,,No,,,,,,,,,,,167.2,151,149.9,Improved,2nd Quartile,N,,
,"70 BIOPOLIS STREET, SINGAPORE 138547",Office Building,Large,No,2013,2013,Gold,Yes,33363,83,75,,District Cooling Plant,3,,,0,Y,324.6,321.7,312.2,Improved,Bottom Quartile,Y,5,10415928.6
,,Educational Institution,,,,,,Yes,,,,,,,,,,,146.7,177.6,168.4,Improved,,,,
PARK AVENUE CHANGI,"2 CHANGI BUSINESS PARK AVENUE 1, SINGAPORE 486015",Office Building,Large,No,2012,2010,GoldPlus,Yes,72782,83,90,251,District Cooling Plant,6,,,0,N,190.4,200.1,194.1,Improved,3rd Quartile,Y,6,14126986.2
VIVA BUSINESS PARK,"750 CHAI CHEE ROAD, SINGAPORE 469000",Office Building,Large,No,2017,,Not Certified,No,141841,74,78,,Water Cooled Chilled Water Plant,1,0.65,,0,N,795,791.5,760.2,Improved,Bottom Quartile,Y,1,107827528.2
,,Healthcare Facility,,,,,,No,,,,,,,,,,,134.4,141.2,141.5,Worsened,,,,
POLICE CANTONMENT COMPLEX,"391 NEW BRIDGE ROAD, SINGAPORE 088762",Office Building,Large,Yes,2001,,Not Certified,No,106793,26,70,,Water Cooled Chilled Water Plant,16,,,1,N,222.5,230.1,229.6,Improved,3rd Quartile,Y,17,24519672.8
,"18 NAPIER ROAD, SINGAPORE 258510",Office Building,Large,Yes,2015,,Not Certified,No,15200,80,90,,Water Cooled Chilled Water Plant,3,,,75,Y,35.3,107.7,113.5,Worsened,Top Quartile,Y,3,1725200
,"8 LORONG 10 GEYLANG, SINGAPORE 399041",Hotel,Small,No,2004,,Not Certified,No,957,58,80,42,"Others (Split Units, Unitary Systems)",4,,,0,N,166.4,152.7,146.9,Improved,Top Quartile,Y,14,140583.30000000002
TPI BUILDING,"62 CECIL STREET, SINGAPORE 049710",Office Building,Small,No,1982,,Not Certified,No,2974,18,70,,"Others (Split Units, Unitary Systems)",1,,,0,N,116.8,105.1,116.8,Worsened,Top Quartile,Y,36,347363.2
GRAND PARK ORCHARD,"270 ORCHARD ROAD, SINGAPORE 238857",Hotel,Large,No,2010,,Not Certified,No,22606,98,88,308,Water Cooled Chilled Water Plant,31,,,30,N,358.2,276.2,284.2,Worsened,3rd Quartile,Y,8,6424625.2
BANGKOK BANK BUILDING,"180 CECIL STREET, SINGAPORE 069546",Office Building,Large,No,1978,,Not Certified,No,15590,83,75,,Water Cooled Chilled Water Plant,31,,,0,N,125.8,127,121.1,Improved,Top Quartile,Y,40,1887949
,,Retail Building,Small,,,,,No,,,,,,,,,,,262.4,271.1,246.7,Improved,2nd Quartile,N,,
,,Healthcare Facility,,,,,,No,,,,,,,,,,,212.8,192.9,178.6,Improved,,,,
MAYBANK TOWER,"2 BATTERY ROAD, SINGAPORE 049907",Office Building,Small,No,2001,,Not Certified,No,14989,99,100,,Water Cooled Chilled Water Plant,15,,,50,N,374.1,359,337,Improved,Bottom Quartile,Y,17,5051293
LAVENDER PLACE,"161 LAVENDER STREET, SINGAPORE 338750",Office Building,Small,No,1996,,Not Certified,No,3853,85,70,,"Others (Split Units, Unitary Systems)",20,,,0,N,142.6,146,124.7,Improved,Top Quartile,Y,22,480469.10000000003
,,Hotel,Large,,,,,No,,,,,,,,,,,70.4,66.7,64.4,Improved,Top Quartile,N,,
,"1200 WOODLANDS ROAD, SINGAPORE 738700",Office Building,Large,Yes,2013,,Not Certified,No,32860,13,60,,"Others (Split Units, Unitary Systems)",4,,,12,N,678.4,542.1,199.3,Improved,3rd Quartile,Y,5,6548998
BANK OF AMERICA MERRILL LYNCH HARBOURFRONT,"2 HARBOURFRONT PLACE, SINGAPORE 098499",Office Building,Large,No,2008,2013,Gold,Yes,22722,93,100,,Water Cooled Chilled Water Plant,9,0.8,2014,30,N,402.7,401.5,386,Improved,Bottom Quartile,Y,10,8770692
,,Hotel,Small,,,,,No,,,,,,,,,,,148.5,142.5,165.9,Worsened,Top Quartile,N,,
MANULIFE CENTRE,"51 BRAS BASAH ROAD, SINGAPORE 189554",Office Building,Large,No,1989,2017,Platinum,Yes,27850,73,100,,Water Cooled Chilled Water Plant,9,0.56,2017,10,N,309,334.1,243.5,Improved,3rd Quartile,Y,29,6781475
MALAYSN HGH COMN RESDL COMPLX,"301 JERVOIS ROAD, SINGAPORE 249077",Office Building,Small,No,2005,,Not Certified,No,810,100,100,,"Others (Split Units, Unitary Systems)",10,,,0,N,664.3,675.2,599,Improved,Bottom Quartile,Y,13,485190
,,Healthcare Facility,,,,,,No,,,,,,,,,,,321.7,321,312.6,Improved,,,,
M HOTEL,"81 ANSON ROAD, SINGAPORE 079908",Hotel,Large,No,1985,2015,GoldPlus,Yes,31033,73,87,413,Water Cooled Chilled Water Plant,13,0.67,2017,60,N,237.1,232,225.1,Improved,Top Quartile,Y,33,6985528.3
,,Healthcare Facility,,,,,,No,,,,,,,,,,,108.7,110.1,106.9,Improved,,,,
,"170 BENCOOLEN STREET, SINGAPORE 189657",Hotel,Large,No,2017,,Not Certified,No,15022,84,90,538,Air Cooled Chilled Water Plant,8,,,55,N,341.6,336,317.5,Improved,3rd Quartile,Y,1,4769485
CRU CENTRE,"18 VERDUN ROAD, SINGAPORE 207280",Office Building,Small,No,1990,,Not Certified,No,1082,87,100,,"Others (Split Units, Unitary Systems)",2,,,0,N,240.1,226.2,204.1,Improved,3rd Quartile,Y,28,220836.19999999998
,"5 KADAYANALLUR STREET, SINGAPORE 069183",Office Building,Small,No,1923,,Not Certified,No,2281,77,97,,"Others (Split Units, Unitary Systems)",4,,,5,N,101.8,92.8,60.6,Improved,Top Quartile,Y,95,138228.6
,,Hotel,Small,,,,,No,,,,,,,,,,,405.2,392,373,Improved,Bottom Quartile,N,,
THE NOVELTY HOUSE,"15 HONGKONG STREET, SINGAPORE 059658",Office Building,Small,No,2004,,Not Certified,No,2154,84,66,,"Others (Split Units, Unitary Systems)",3,,,0,N,140.1,131.8,111.6,Improved,Top Quartile,Y,14,240386.4
TRISTAR COMPLEX,"970 GEYLANG ROAD, SINGAPORE 423492",Retail Building,Small,No,1998,,Not Certified,No,2775,77,90,117,"Others (Split Units, Unitary Systems)",19,,,50,N,474.2,514.6,525.2,Worsened,Bottom Quartile,Y,20,1457430.0000000002
,,Office Building,Large,,,,,Yes,,,,,,,,,,,319.9,329.2,322.2,Improved,Bottom Quartile,N,,
,,Healthcare Facility,,,,,,No,,,,,,,,,,,133.5,155.9,150.5,Improved,,,,
ROBINSON POINT,"39 ROBINSON ROAD, SINGAPORE 068911",Office Building,Large,No,1997,2008,Certified,Yes,15724,82,83,,Water Cooled Chilled Water Plant,18,0.82,2013,4,N,197.7,206.6,210.2,Worsened,3rd Quartile,Y,21,3305184.8
SIME DARBY CENTRE,"896 DUNEARN ROAD, SINGAPORE 589472",Office Building,Large,No,1988,,Not Certified,No,23533,90,95,,Water Cooled Chilled Water Plant,19,,,100,N,173.7,202.3,202.1,Improved,3rd Quartile,Y,30,4756019.3
HEARTLAND MALL- KOVAN,"205 HOUGANG STREET 21, SINGAPORE 530205",Retail Building,Small,No,1984,,Not Certified,No,13568,100,100,,Water Cooled Chilled Water Plant,14,,,70,N,602.4,584,572.9,Improved,Bottom Quartile,Y,34,7773107.199999999
CLEMENTI SPORTS HALL,"518 CLEMENTI AVENUE 3, SINGAPORE 129907",Office Building,Small,Yes,1990,,Not Certified,No,5091,6,85,,"Others (Split Units, Unitary Systems)",5,,,75,N,137.3,126.5,129.4,Worsened,Top Quartile,Y,28,658775.4
,,Mixed Development,,,,,,No,,,,,,,,,,,296.3,314.7,294.6,Improved,3rd Quartile,N,,
,"21 JURONG EAST STREET 31, SINGAPORE 609517",Office Building,Large,Yes,1973,,Not Certified,No,91069,0,50,,"Others (Split Units, Unitary Systems)",17,,,0,N,45.5,47,45.2,Improved,Top Quartile,Y,45,4116318.8000000003
JURONG STADIUM,"10 FOURTH CHIN BEE ROAD, SINGAPORE 619707",Office Building,Small,Yes,1973,,Not Certified,No,5998,0,50,,"Others (Split Units, Unitary Systems)",17,,,0,N,7.8,10.7,9.3,Improved,Top Quartile,Y,45,55781.4
THE CENTRAL,"6 EU TONG SEN STREET, SINGAPORE 059817",Mixed Development,,No,2009,,Not Certified,No,66474,92,90,,Water Cooled Chilled Water Plant,7,0.73,2012,0,N,356.3,354,346.1,Improved,Bottom Quartile,Y,9,23006651.400000002
RENDEZVOUS HOTEL SINGAPORE,"9 BRAS BASAH ROAD, SINGAPORE 189559",Hotel,Large,No,1998,2017,GoldPlus,Yes,19720,64,86,298,Water Cooled Chilled Water Plant,19,,,80,N,339.3,328.7,290.8,Improved,3rd Quartile,Y,20,5734576
ESPLANADE MALL,"8 RAFFLES AVENUE, SINGAPORE 039802",Mixed Development,,No,2002,,Not Certified,No,106584,99,70,,Water Cooled Chilled Water Plant,15,0.94,2015,30,N,321.7,312.1,309.3,Improved,3rd Quartile,Y,16,32966431.200000003
TANJONG PAGAR CENTRE,"7 WALLICH STREET, SINGAPORE 078884",Office Building,Large,No,2016,2013,Platinum,Yes,129726,80,80,222,Water Cooled Chilled Water Plant,1,0.62,2017,30,Y,8.8,66.3,200.4,Worsened,3rd Quartile,Y,2,25997090.400000002
PENINSULA SHOPPING COMPLEX,"3 COLEMAN STREET, SINGAPORE 179804",Hotel,Large,No,1990,,Not Certified,No,51487,99,100,591,Water Cooled Chilled Water Plant,26,,,40,N,396.5,367.9,423.3,Worsened,Bottom Quartile,Y,28,21794447.1
,,Office Building,Large,,,,,No,,,,,,,,,,,220,213.2,206.2,Improved,3rd Quartile,N,,
BALESTIER POINT,"279 BALESTIER ROAD, SINGAPORE 329727",Retail Building,Small,No,1988,,Not Certified,No,6154,70,88,,Air Cooled Chilled Water Plant,11,,,5,N,331.4,340.4,327.1,Improved,2nd Quartile,Y,30,2012973.4000000001
CHOA CHU KANG CENTRE,"309 CHOA CHU KANG AVENUE 4, SINGAPORE 680309",Office Building,Small,Yes,2001,,Not Certified,No,11015,71,100,,"Others (Split Units, Unitary Systems)",16,,,50,N,220.4,209.4,182.1,Improved,2nd Quartile,Y,17,2005831.5
,,Office Building,Large,,,,,Yes,,,,,,,,,,,259.1,270.3,241.7,Improved,3rd Quartile,N,,
,,Educational Institution,,,,,,No,,,,,,,,,,,149,154.1,143.6,Improved,,,,
,"101 DUNLOP STREET, SINGAPORE 209420",Hotel,Small,No,1996,,Not Certified,No,216,80,70,1,"Others (Split Units, Unitary Systems)",3,,,0,N,550.1,519.1,472.6,Improved,Bottom Quartile,Y,22,102081.6
,"14 INTERNATIONAL BUSINESS PARK, SINGAPORE 609922",Office Building,Small,No,1998,,Not Certified,No,8838,100,100,,Air Cooled Chilled Water Plant,5,1.33,2013,0,N,215.4,217.5,213.2,Improved,3rd Quartile,Y,20,1884261.5999999999
OCEAN FINANCIAL CENTRE,"10 COLLYER QUAY, SINGAPORE 049315",Office Building,Large,No,2011,2016,Platinum,Yes,95992,89,97,,District Cooling Plant,6.75,0.59,2015,90,Y,209.7,210.6,208,Improved,3rd Quartile,Y,7,19966336
,,Office Building,Large,,,,,No,,,,,,,,,,,137.8,138.7,132.8,Improved,Top Quartile,N,,
GRANDLINK SQUARE,"511 GUILLEMARD ROAD, SINGAPORE 399849",Retail Building,Small,No,2000,,Not Certified,No,10110,68,70,,"Others (Split Units, Unitary Systems)",15,,,30,N,429.1,418.1,374.6,Improved,3rd Quartile,Y,18,3787206
SERENE CENTRE,"10 JALAN SERENE, SINGAPORE 258748",Retail Building,Small,No,1983,,Not Certified,No,3838,84,90,,Water Cooled Packaged Unit,,,,10,N,373.4,394.9,431.9,Worsened,3rd Quartile,Y,35,1657632.2
MARINA SQUARE,"6 RAFFLES BOULEVARD, SINGAPORE 039594",Retail Building,Large,No,1987,,Not Certified,No,452045,45,84,1317,Water Cooled Chilled Water Plant,14,0.68,2017,30,N,213,213.8,205.5,Improved,Top Quartile,Y,31,92895247.5
,,Educational Institution,,,,,,No,,,,,,,,,,,26.2,26.7,26,Improved,,,,
HOTEL G SINGAPORE,"200 MIDDLE ROAD, SINGAPORE 188980",Hotel,Large,No,2013,,Not Certified,No,8785,93,80,308,"Others (Split Units, Unitary Systems)",5,,,100,N,334,313.9,378.1,Worsened,Bottom Quartile,Y,5,3321608.5
VISIONCREST,"103 PENANG ROAD, SINGAPORE 238467",Office Building,Large,No,2008,,Not Certified,No,15847,89,90,,"Others (Split Units, Unitary Systems)",10,,,50,N,194,180.3,166.3,Improved,2nd Quartile,Y,10,2635356.1
CONCORDE HOTEL AND SHOPPING MALL,"100 ORCHARD ROAD, SINGAPORE 238840",Mixed Development,,No,1984,,Not Certified,No,62543,96,90,421,Water Cooled Chilled Water Plant,0,,,5,N,184.5,178.6,172.4,Improved,Top Quartile,Y,34,10782413.200000001
COPTHORNE KINGS HOTEL,"403 HAVELOCK ROAD, SINGAPORE 169632",Hotel,Large,No,1970,2014,Platinum,Yes,17598,94,85,310,Water Cooled Chilled Water Plant,3,0.63,2017,100,N,284.4,257.8,238.9,Improved,2nd Quartile,Y,48,4204162.2
SLOANE COURT HOTEL,"17 BALMORAL ROAD, SINGAPORE 259803",Hotel,Small,No,1960,,Not Certified,No,1768,85,38,32,"Others (Split Units, Unitary Systems)",1,,,0,N,40.3,43.9,36.7,Improved,Top Quartile,Y,58,64885.600000000006
W SINGAPORE SENTOSA COVE HOTEL,"21 OCEAN WAY, SINGAPORE 098374",Hotel,Large,No,2012,2010,Platinum,Yes,23800,56,70,240,Water Cooled Chilled Water Plant,5,,,60,N,406.9,399.5,402.5,Worsened,Bottom Quartile,Y,6,9579500
KEPPEL TOWERS,"10 HOE CHIANG ROAD, SINGAPORE 089315",Office Building,Large,No,1991,2010,Gold,Yes,52945,78,84,,Water Cooled Chilled Water Plant,6,0.88,2010,0,N,147.5,159.4,165.5,Worsened,2nd Quartile,Y,27,8762397.5
FOUR SEASONS HOTEL,"190 ORCHARD BOULEVARD, SINGAPORE 248646",Hotel,Large,No,1994,,Not Certified,No,34630,98,78,255,Water Cooled Chilled Water Plant,2,,,15,N,331.5,328.8,313.1,Improved,3rd Quartile,Y,24,10842653
